,Opportunity_cost,Y,C_bool,recommended_val,optimum
0,0.0,28.123291589075915,0,0.0,0.0
1,0.0,194.62526981230042,0,0.0,0.0
2,0.0,230.6241644526332,0,0.0,0.0
3,0.0,176.62542269735232,1,0.0,0.0
4,0.0,113.62348832255084,0,0.0,0.0
5,0.0,95.62649373178726,0,0.0,0.0
6,0.0,298.12437729925733,0,0.0,0.0
7,0.0,167.62434435618206,0,0.0,0.0
8,0.0,19.125836226629428,0,0.0,0.0
9,0.0,172.12567271864782,0,0.0,0.0
10,87.53475589848648,362.09998189470195,0,181.19009721308493,268.7248531115714
11,63.69188609937325,241.22791049650283,0,205.09661611511532,268.7885022144886
12,88.50512646944156,207.65471340248874,1,180.283375745047,268.7885022144886
13,53.784491043449066,171.6222203661179,0,215.0040111710395,268.7885022144886
14,87.77162394275337,204.51036202154438,0,181.0168782717352,268.7885022144886
15,87.68005944407255,226.9356623155353,0,181.10844277041602,268.7885022144886
16,53.68271155714294,215.1162320852888,0,215.10579065734564,268.7885022144886
17,54.56914065508144,228.79712860032055,1,214.21936155940713,268.7885022144886
18,21.792965593833202,247.92600870479257,1,246.99553907689946,268.78850467073266
