,OC sampled,OC GP mean,Y,C_bool,recommended_val_sampled,recommended_val_GP,optimum
0,0.0,0.0,-7.800241515808794,0,0.0,0.0,0.0
1,0.0,0.0,-7.381584727417095,0,0.0,0.0,0.0
2,0.0,0.0,-10.387569171395347,1,0.0,0.0,0.0
3,0.0,0.0,-18.55133309308299,1,0.0,0.0,0.0
4,0.0,0.0,-15.463746761188967,1,0.0,0.0,0.0
5,0.0,0.0,-17.3421979184562,1,0.0,0.0,0.0
6,0.0,0.0,-1.4605406728247678,1,0.0,0.0,0.0
7,0.0,0.0,-10.024619190859324,1,0.0,0.0,0.0
8,0.0,0.0,-17.60540207609362,1,0.0,0.0,0.0
9,0.0,0.0,-10.107543122330103,1,0.0,0.0,0.0
10,1.174274328866347,1.318128767790455,1.276334778728243,0,0.0,-0.14385443892410787,0.0
11,1.174274328866347,0.23013399000821888,-1.4449762578956589,1,0.0,0.9441403388581282,0.0
