,OC sampled,OC GP mean,Y,C_bool,recommended_val_sampled,recommended_val_GP,optimum
0,0.0,0.0,-16.214896615412734,0,0.0,0.0,0.0
1,0.0,0.0,-33.94425373983955,0,0.0,0.0,0.0
2,0.0,0.0,-19.099305341431087,0,0.0,0.0,0.0
3,0.0,0.0,-9.089615719742406,1,0.0,0.0,0.0
4,0.0,0.0,-3.979562790606903,1,0.0,0.0,0.0
5,0.0,0.0,-3.071133042825684,0,0.0,0.0,0.0
6,0.0,0.0,-17.34370641371069,1,0.0,0.0,0.0
7,0.0,0.0,-6.4192301292445215,0,0.0,0.0,0.0
8,0.0,0.0,-8.525283439364093,1,0.0,0.0,0.0
9,0.0,0.0,-23.384689435189724,1,0.0,0.0,0.0
10,1.1742743288663418,17.30989994460185,-21.248661818973183,1,0.0,-16.135625615735506,0.0
