,OC sampled,OC GP mean,Y,C,C_bool,recommended_val_sampled,recommended_val_GP,optimum
0,0.0,0.0,14.115921855253964,0.9570278789392819,0,0.0,0.0,0.0
1,0.0,0.0,18.613486201764438,0.34746091788627476,0,0.0,0.0,0.0
2,0.0,0.0,18.556631000854974,0.35257210228143937,0,0.0,0.0,0.0
3,0.0,0.0,11.604776109227982,0.06345788190486706,0,0.0,0.0,0.0
4,0.0,0.0,3.0658962198865636,-1.1941506617757538,1,0.0,0.0,0.0
5,0.0,0.0,14.113809795226945,0.9863029975516607,0,0.0,0.0,0.0
6,0.0,0.0,15.170936366274727,-0.5904146560860258,1,0.0,0.0,0.0
7,0.0,0.0,-0.7077239545984593,-1.4443060103579786,1,0.0,0.0,0.0
8,0.0,0.0,-5.121210684008188,1.0168055648903382,0,0.0,0.0,0.0
9,0.0,0.0,-14.238171900904774,-0.303683453978307,1,0.0,0.0,0.0
10,16.020988743467953,20.10761543869919,19.34946227644323,0.6729987049546011,0,0.0,20.10761543869919,0.0
11,16.020988743467953,19.592646188854303,20.543511880636142,0.3923888005234532,0,0.0,19.592646188854303,0.0
