,Y,C
0,0.9599999785423279,-3.7703403428597864
1,0.9757999777793884,-2.711979646557514
2,0.961899995803833,-3.571717728916823
3,0.9659000039100647,-4.3300357992008625
4,0.9753000140190125,-1.6999096861448564
5,0.9764999747276306,-2.739480299898577
6,0.9617000222206116,-4.282239022400207
7,0.902999997138977,-2.944170942009639
8,0.9736999869346619,-3.522005321976892
9,0.9362999796867371,-4.412287576210321
10,0.9620000123977661,-2.04180916839225
11,0.7961000204086304,-3.698699431906427
12,0.9520000219345093,-2.389689292811867
13,0.958299994468689,-4.4920885669071815
14,0.9168000221252441,-1.6779694950334003
15,0.9537000060081482,-2.1958839379656463
16,0.9735999703407288,-0.9628539198013372
17,0.9298999905586243,-1.371714514289491
18,0.9430999755859375,-3.018531447630343
19,0.9747999906539917,-2.733491444168708
20,0.9718000292778015,-2.9684465198039165
21,0.9503999948501587,-3.4995741851188606
22,0.9769999980926514,-2.7211170093978017
23,0.9243999719619751,-3.6294805048587144
24,0.6337000131607056,-4.678539956640669
25,0.9695000052452087,-2.453425625859122
26,0.9713000059127808,-1.9922531815784303
27,0.9375,-4.242775328659263
28,0.9498000144958496,-4.175907986412997
29,0.9696000218391418,-3.2101833621015747
30,0.9764999747276306,-1.768002616225055
31,0.9757000207901001,-2.8192043896252637
32,0.9315999746322632,-3.6948485429350875
33,0.9434999823570251,-4.074272389966575
34,0.9632999897003174,-1.2548848940626265
35,0.9746000170707703,0.019103021463714908
36,0.9715999960899353,-0.8608538659130407
37,0.933899998664856,-4.2684806033636855
38,0.9732000231742859,-1.0067783480813692
39,0.8894000053405762,-2.354087238768129
40,0.9771999716758728,-1.3563262293551768
41,0.9697999954223633,-3.0878467907387988
42,0.9480999708175659,-3.6671784991552037
43,0.9580000042915344,-2.5834772516444477
44,0.7602999806404114,-4.816227779683116
45,0.9767000079154968,-1.566365583165096
46,0.965399980545044,-1.8272876030628777
47,0.9679999947547913,-0.9177814996801288
48,0.97079998254776,-1.9002911269036407
49,0.7825000286102295,-4.68932038890798
50,0.972000002861023,-1.8906732291476673
51,0.9348000288009644,-4.108467943907541
52,0.9771999716758728,-0.8951286010223215
53,0.9628000259399414,-1.7934003191189165
54,0.9768000245094299,-1.4680684453457136
55,0.9757999777793884,-1.3665181565612017
56,0.9700000286102295,-1.8831428269210226
57,0.9729999899864197,-2.052129562869354
58,0.9556000232696533,0.08835429873646203
59,0.9452999830245972,-2.429564862343033
60,0.9628999829292297,-2.035439823906452
61,0.967199981212616,0.17059561333073267
62,0.9768999814987183,-0.5702146995760247
63,0.9462000131607056,-2.99628889740393
64,0.9513000249862671,-3.145859012711161
65,0.9611999988555908,-3.227574942060154
66,0.9315999746322632,-3.5203188557577043
67,0.970300018787384,-1.8128197026990895
68,0.9642999768257141,-1.6463465422125199
69,0.9711999893188477,-0.6025448288538503
70,0.9377999901771545,-2.039872156298119
71,0.9771000146865845,-1.7219441497130454
72,0.8986999988555908,-4.6372307536666435
73,0.9764000177383423,-2.330687198783402
74,0.9513999819755554,-2.249497134602479
75,0.9685999751091003,-2.970014544738075
76,0.9692999720573425,-1.9187691512678555
77,0.9495000243186951,-2.0111221884796646
78,0.9157000184059143,-3.543380688988776
79,0.9710999727249146,-3.0745299440330722
80,0.9415000081062317,-0.8961504264870016
81,0.9675999879837036,-2.449343548761692
82,0.9772999882698059,-1.8440793184237294
83,0.954800009727478,-2.289207965158838
84,0.9546999931335449,-4.145221037234493
85,0.9646999835968018,-2.2901138779221912
86,0.9764000177383423,-2.1172415223031664
87,0.9269000291824341,-3.011372565382335
88,0.6198999881744385,-4.094830863613962
89,0.9710000157356262,-2.61785468380809
90,0.9772999882698059,-1.2597791576640063
91,0.953499972820282,-1.7507020211669535
92,0.9745000004768372,-1.455150886910971
93,0.9449999928474426,-4.0292779790729805
94,0.7056999802589417,-2.2030196898252745
95,0.9747999906539917,-0.46023551022124
96,0.8159999847412109,-2.5988104256598206
97,0.9779000282287598,-2.422628812980739
98,0.9776999950408936,-1.3293413903594993
99,0.9491999745368958,-4.258554382571169
