,Opportunity_cost,Y,C_bool,recommended_val,optimum
0,0.0,-5.778928686120471,0,0.0,0.0
1,0.0,-7.220653310733324,0,0.0,0.0
2,0.0,-24.570491032157587,0,0.0,0.0
3,0.0,-34.39530294965611,1,0.0,0.0
4,0.0,-14.034542215970463,0,0.0,0.0
5,0.0,-1.4565328114161697,1,0.0,0.0
6,0.0,-8.188122494777724,0,0.0,0.0
7,0.0,-3.8906173928378043,0,0.0,0.0
8,0.0,-9.091168524790644,1,0.0,0.0
9,0.0,-23.384813231459077,1,0.0,0.0
10,1.1742737056380514,0.8602415116666865,0,-0.0,1.1742737056380514
11,1.1742737056380514,-26.208428501574204,1,0.0,1.1742737056380514
12,1.1742743288663435,-0.8308593780580422,1,0.0,1.1742743288663435
13,1.1742743288663435,-0.876617520256375,1,0.0,1.1742743288663435
