,OC sampled,OC GP mean,Y,C,C_bool,recommended_val_sampled,recommended_val_GP,optimum
0,0.0,0.0,14.012828497084294,1.1172934457813644,0,0.0,0.0,0.0
1,0.0,0.0,-1.7336281382531031,-0.16688132951927165,1,0.0,0.0,0.0
2,0.0,0.0,19.44080298146738,0.5255818023861861,0,0.0,0.0,0.0
3,0.0,0.0,14.948470403846482,-0.4574112672873414,1,0.0,0.0,0.0
4,0.0,0.0,10.909004456056264,-0.12007712925489629,1,0.0,0.0,0.0
5,0.0,0.0,11.60285270113981,-0.1853235446039706,1,0.0,0.0,0.0
6,0.0,0.0,2.790941187731655,-1.05798758781666,1,0.0,0.0,0.0
7,0.0,0.0,2.6934241326709687,-0.4801596055913139,1,0.0,0.0,0.0
8,0.0,0.0,0.7042297725411835,-0.8229225833869026,1,0.0,0.0,0.0
9,0.0,0.0,2.4437717012918627,-0.830497075142931,1,0.0,0.0,0.0
10,9.975056956657657,9.959198940739181,8.11325964274262,-0.23050191847932178,1,0.0,9.959198940739181,21.174274328866346
11,9.939562358783968,0.0,15.098980309226542,0.6448738472518317,0,0.0,0.0,21.174274328866346
