,OC GP mean,OC GP sampled
0,4.674308709125606,3.659549989035752
1,4.688710666725178,3.0520467678362495
2,4.987034532175179,3.0520467678362495
3,4.943873228238764,3.0520467678362495
4,4.8896140503407395,3.659549989035752
5,4.985575352684869,3.0520467678362495
6,4.729344876689382,3.659549989035752
7,5.18672067054518,3.659549989035752
8,5.086126428326092,3.0520467678362495
9,5.079194505935401,3.659549989035752
10,5.159402386652207,3.659549989035752
11,5.163006415476301,3.659549989035752
12,5.425421648088657,5.59713446924726
13,5.480197429319239,5.59713446924726
14,5.401717428797089,5.59713446924726
15,5.339373739612946,5.59713446924726
16,5.358628250566507,5.59713446924726
17,5.391707990807471,5.59713446924726
18,5.341309888689187,5.59713446924726
19,5.357958410481499,5.168552751153084
20,5.365496297177414,5.168552751153084
21,5.368401212776407,5.168552751153084
22,5.327154080525045,5.168552751153084
23,5.509877075476596,5.59713446924726
24,5.517969214928437,5.59713446924726
25,5.589589287927603,5.59713446924726
26,5.567296053868242,5.59713446924726
27,5.521164742862442,5.59713446924726
28,5.5225916445655665,5.59713446924726
29,5.55053517303838,5.59713446924726
30,5.545177331954781,5.59713446924726
31,5.516596632259563,5.59713446924726
